Stock,Value
Under1,702
1_to_4,3080
5_to_9,4147
10_to_14,4045
15_to_19,3684
20_to_24,4133
25_to_29,4477
30_to_34,4522
35_to_39,4404
40_to_44,4092
45_to_49,4304
50_to_54,4616
55_to_59,4511
60_to_64,3856
65_to_69,3355
70_to_74,3364
75_to_79,2404
Over80,3386
